Order_ID;Order_Date;Ship_Date;Ship_Mode;Order_Priority
IN-2013-59356;09/09/2013;9/15/13;Standard Class;Low
AL-2013-7280;4/20/13;4/20/13;Same Day;Critical
IR-2013-3310;1/29/13;02/03/2013;Standard Class;Medium
CA-2012-110870;12/12/2012;12/15/12;First Class;High
CA-2014-102155;7/14/14;7/18/14;Standard Class;High
SA-2012-90;11/27/12;12/03/2012;Standard Class;Medium
ES-2013-5311844;5/18/13;5/19/13;First Class;High
IN-2014-17027;2/13/14;2/15/14;First Class;Medium
SA-2013-8270;11/01/2013;11/07/2013;Standard Class;Medium
ID-2011-30922;11/28/11;12/03/2011;Standard Class;Medium
CA-2011-107811;4/29/11;05/03/2011;Standard Class;Medium
MX-2013-107006;12/10/2013;12/11/2013;First Class;High
IN-2014-10020;11/30/14;12/04/2014;Standard Class;Medium
MX-2014-126599;11/23/14;11/27/14;Second Class;Medium
IT-2014-2122888;3/14/14;3/19/14;Standard Class;Medium
CA-2014-128370;09/11/2014;09/11/2014;Same Day;Critical
MX-2011-136546;9/14/11;9/18/11;Standard Class;Medium
ES-2012-1361094;08/03/2012;08/07/2012;Standard Class;Medium
IR-2012-9440;10/29/12;10/30/12;First Class;High
ES-2011-5693995;07/09/2011;7/13/11;Standard Class;Medium
CA-2014-130211;10/23/14;10/23/14;Same Day;High
CA-2013-154767;6/29/13;07/01/2013;Second Class;High
IN-2013-34457;5/16/13;5/22/13;Standard Class;Medium
IT-2013-3060899;12/12/2013;12/18/13;Standard Class;Medium
IT-2014-3116089;8/19/14;8/22/14;First Class;High
IN-2014-71102;01/06/2014;01/10/2014;Standard Class;High
CA-2014-118199;05/10/2014;05/12/2014;First Class;High
ID-2012-79789;5/28/12;06/02/2012;Standard Class;Medium
IN-2014-16705;1/31/14;02/04/2014;Second Class;High
ID-2014-10356;4/18/14;4/22/14;Standard Class;Medium
MX-2011-115490;6/17/11;6/22/11;Second Class;Medium
EG-2014-9280;4/22/14;4/24/14;First Class;Critical
ES-2011-3431770;05/04/2011;05/07/2011;Second Class;High
CA-2012-103954;08/09/2012;8/13/12;Second Class;Medium
ES-2012-5645358;03/06/2012;03/08/2012;Second Class;Medium
IN-2012-39343;05/01/2012;05/03/2012;Second Class;High
SF-2013-6530;4/26/13;4/28/13;First Class;Medium
MX-2013-100342;6/25/13;6/28/13;First Class;Medium
IT-2012-3985205;7/30/12;08/03/2012;Standard Class;Medium
IT-2013-2763542;08/10/2013;8/15/13;Second Class;Medium
US-2014-128587;06/12/2014;6/14/14;Second Class;Critical
ES-2014-1504792;08/02/2014;08/05/2014;Second Class;Medium
ES-2014-1540287;3/19/14;3/26/14;Standard Class;Low
ES-2014-3147119;04/04/2014;04/08/2014;Standard Class;High
MX-2013-132808;11/28/13;11/30/13;Second Class;Medium
MX-2013-158162;7/19/13;7/23/13;Standard Class;High
CA-2013-127670;3/21/13;3/25/13;Standard Class;Medium
ID-2012-32098;04/05/2012;04/11/2012;Standard Class;Low
MX-2014-132619;11/12/2014;11/16/14;Standard Class;Medium
US-2011-152030;12/26/11;12/28/11;Second Class;High
MX-2014-148208;09/05/2014;09/08/2014;First Class;Medium
US-2014-141558;03/12/2014;3/17/14;Standard Class;Medium
MX-2014-136812;6/23/14;6/23/14;Same Day;Critical
ES-2012-5575159;7/13/12;7/13/12;Same Day;High
ID-2011-71452;04/05/2011;04/08/2011;Second Class;High
ID-2012-39987;06/09/2012;6/13/12;Standard Class;High
ES-2012-3549935;8/29/12;09/04/2012;Standard Class;Medium
ES-2013-5310113;9/25/13;9/29/13;Standard Class;High
MX-2014-164112;10/28/14;10/30/14;First Class;High
ES-2011-2072928;12/06/2011;12/11/2011;Standard Class;Medium
MX-2014-114510;6/16/14;6/20/14;Standard Class;High
MX-2014-122574;12/29/14;01/01/2015;First Class;Medium
ID-2013-42906;10/02/2013;10/04/2013;Second Class;Medium
US-2013-167269;6/17/13;6/20/13;First Class;High
IN-2013-76464;06/12/2013;6/14/13;First Class;High
CG-2013-8500;02/06/2013;02/10/2013;Standard Class;Medium
ES-2012-1671236;05/12/2012;5/14/12;First Class;High
IN-2012-16845;12/15/12;12/20/12;Standard Class;Medium
CA-2014-143245;12/02/2014;12/07/2014;Standard Class;Medium
IT-2013-1948196;11/11/2013;11/16/13;Second Class;Medium
ID-2011-31699;12/08/2011;12/12/2011;Standard Class;Medium
MX-2014-144407;11/19/14;11/24/14;Standard Class;Medium
IN-2014-65243;12/04/2014;12/06/2014;Second Class;High
MX-2014-151442;7/31/14;08/04/2014;Standard Class;Medium
ID-2014-85543;10/13/14;10/17/14;Standard Class;High
IT-2014-4529316;11/18/14;11/20/14;Second Class;Medium
ID-2013-16110;11/30/13;12/02/2013;Second Class;Critical
CA-2013-100944;9/25/13;9/29/13;Standard Class;Medium
IN-2011-70185;10/25/11;10/25/11;Same Day;Critical
ES-2011-3666932;1/19/11;1/20/11;First Class;Critical
TZ-2012-220;09/07/2012;09/12/2012;Standard Class;Medium
ES-2014-2863403;5/19/14;5/21/14;Second Class;Critical
TZ-2014-2680;5/29/14;5/31/14;Second Class;Medium
MX-2012-145065;2/21/12;2/24/12;First Class;Medium
MX-2014-131457;04/07/2014;04/11/2014;Standard Class;High
IT-2013-3395178;12/24/13;12/30/13;Standard Class;Low
IN-2013-73349;12/11/2013;12/14/13;First Class;High
MD-2014-4350;9/30/14;10/02/2014;Second Class;Medium
IN-2013-70297;12/16/13;12/20/13;Standard Class;High
IN-2013-30754;10/21/13;10/24/13;Second Class;Medium
US-2011-148264;10/14/11;10/20/11;Standard Class;Medium
IN-2013-78970;12/23/13;12/29/13;Standard Class;Medium
IN-2012-35717;11/15/12;11/17/12;Second Class;Critical
IN-2012-81553;05/08/2012;05/12/2012;Standard Class;High
IN-2012-18035;3/22/12;3/22/12;Same Day;Medium
IN-2012-57123;10/20/12;10/24/12;Standard Class;High
CA-2013-133368;1/14/13;1/20/13;Standard Class;Low
CA-2014-166695;5/21/14;5/25/14;Standard Class;High
ES-2014-3712711;6/25/14;6/29/14;Second Class;Medium
IN-2013-15893;8/28/13;09/01/2013;Standard Class;Medium
ES-2014-3553827;5/30/14;06/03/2014;Standard Class;Medium
MX-2014-154277;10/24/14;10/28/14;Standard Class;Medium
CA-2014-108539;3/22/14;3/24/14;Second Class;High
IN-2013-32917;11/27/13;12/01/2013;Standard Class;High
CA-2011-140473;5/30/11;06/03/2011;Standard Class;Medium
ES-2014-2999171;11/13/14;11/15/14;First Class;High
CA-2014-122763;3/21/14;3/21/14;Same Day;High
IT-2014-4888679;09/05/2014;09/12/2014;Standard Class;Low
ES-2013-5573165;8/27/13;8/29/13;First Class;Medium
CA-2012-123939;8/24/12;8/26/12;Second Class;High
IT-2012-2122628;03/07/2012;03/11/2012;Standard Class;Medium
CA-2011-124709;7/27/11;7/29/11;Second Class;Critical
TU-2013-7200;9/28/13;9/30/13;Second Class;Medium
ES-2012-5557687;5/14/12;5/20/12;Standard Class;Medium
CA-2013-110975;12/26/13;12/31/13;Standard Class;Medium
ID-2011-65705;12/15/11;12/17/11;First Class;Medium
IT-2013-2410050;9/27/13;10/02/2013;Standard Class;Medium
ES-2014-5298444;2/27/14;03/04/2014;Standard Class;Medium
IN-2014-24405;2/13/14;2/18/14;Standard Class;High
MX-2014-127901;12/15/14;12/19/14;Standard Class;Medium
IT-2014-2208571;12/26/14;12/28/14;First Class;High
ID-2014-13940;10/07/2014;10/12/2014;Second Class;Medium
MX-2013-110065;02/06/2013;02/08/2013;Second Class;Critical
IN-2012-14808;8/14/12;8/18/12;Standard Class;High
US-2013-124163;9/26/13;10/01/2013;Standard Class;High
ES-2013-5731775;12/31/13;01/07/2014;Standard Class;Low
ES-2012-2000885;10/17/12;10/21/12;Standard Class;Medium
CA-2011-129091;11/22/11;11/27/11;Standard Class;High
CG-2012-6410;6/23/12;6/29/12;Standard Class;Medium
US-2013-155642;10/14/13;10/14/13;Same Day;High
ES-2013-4334154;09/09/2013;9/13/13;Standard Class;High
IN-2013-22886;11/19/13;11/25/13;Standard Class;Medium
IR-2014-8140;1/30/14;1/30/14;Same Day;Medium
US-2014-148894;10/14/14;10/21/14;Standard Class;Medium
CA-2013-160535;11/26/13;12/01/2013;Standard Class;Medium
MX-2012-142258;05/07/2012;05/09/2012;Second Class;High
CA-2011-153927;08/12/2011;8/13/11;First Class;Critical
MX-2014-126249;11/17/14;11/21/14;Standard Class;Medium
ES-2013-2028016;4/26/13;4/28/13;First Class;High
IN-2012-15039;02/07/2012;02/10/2012;First Class;Critical
ES-2014-2364837;12/25/14;12/27/14;First Class;High
ES-2013-3571687;7/23/13;7/28/13;Standard Class;Medium
CA-2013-149797;9/16/13;9/21/13;Standard Class;Medium
ES-2012-3374683;4/26/12;4/30/12;Standard Class;Medium
ES-2013-5929247;12/03/2013;12/08/2013;Standard Class;Medium
IT-2013-5691714;01/08/2013;1/13/13;Standard Class;Medium
IN-2013-36130;11/08/2013;11/12/2013;Standard Class;Medium
IN-2013-66265;06/06/2013;06/06/2013;Same Day;Medium
SA-2013-8010;12/02/2013;12/06/2013;Standard Class;Medium
MX-2013-117450;5/13/13;5/15/13;Second Class;Critical
ES-2014-3130547;4/21/14;4/24/14;First Class;Critical
ES-2013-5079814;9/20/13;9/24/13;Second Class;High
MX-2013-108252;06/03/2013;06/09/2013;Standard Class;Medium
ID-2014-83842;11/04/2014;11/09/2014;Second Class;High
US-2014-107524;10/07/2014;10/12/2014;Standard Class;Medium
MX-2014-159667;11/25/14;11/30/14;Standard Class;Medium
IN-2012-32441;12/29/12;12/31/12;Second Class;High
NI-2012-6180;8/24/12;8/26/12;Second Class;Critical
IN-2011-30733;02/01/2011;02/03/2011;Second Class;Critical
ML-2013-2850;4/18/13;4/22/13;Second Class;Medium
ID-2011-61988;10/19/11;10/20/11;First Class;High
IN-2013-15340;11/17/13;11/18/13;First Class;High
ID-2012-24825;6/13/12;6/17/12;Standard Class;High
HU-2014-6130;09/02/2014;09/09/2014;Standard Class;Medium
CA-2013-161816;4/29/13;05/02/2013;First Class;Medium
ES-2012-1191762;9/20/12;9/27/12;Standard Class;Medium
MX-2014-167108;08/06/2014;08/08/2014;Second Class;High
IT-2014-2181834;03/12/2014;3/14/14;First Class;High
CA-2014-121853;9/24/14;9/30/14;Standard Class;Medium
IN-2014-15585;10/15/14;10/21/14;Standard Class;Medium
SU-2013-4750;9/24/13;9/29/13;Standard Class;Medium
IN-2013-14472;8/19/13;8/23/13;Standard Class;Medium
ID-2013-40351;11/11/2013;11/14/13;First Class;Medium
IN-2014-22606;08/11/2014;08/11/2014;Same Day;Medium
ES-2011-3285117;9/17/11;9/22/11;Standard Class;High
IT-2014-2529211;07/09/2014;07/10/2014;First Class;High
ID-2011-10706;4/18/11;4/22/11;Standard Class;High
CA-2013-119186;5/27/13;5/27/13;Same Day;Critical
MX-2013-117016;11/27/13;11/29/13;Second Class;Critical
RO-2012-2290;8/21/12;8/28/12;Standard Class;Low
MX-2013-120740;02/11/2013;2/17/13;Standard Class;Medium
CG-2014-1640;10/22/14;10/23/14;First Class;Critical
IN-2014-80629;11/26/14;11/29/14;Second Class;High
ES-2012-3944475;6/29/12;07/04/2012;Standard Class;Medium
US-2012-126620;11/12/2012;11/17/12;Standard Class;Medium
US-2012-166856;3/19/12;3/26/12;Standard Class;Low
ES-2013-3947822;9/30/13;9/30/13;Same Day;Medium
IT-2013-1143457;04/09/2013;4/15/13;Standard Class;Low
CA-2012-102582;9/15/12;9/19/12;Standard Class;Medium
CA-2014-130505;10/13/14;10/13/14;Same Day;Medium
ES-2014-5710826;12/30/14;01/02/2015;Second Class;High
US-2014-124968;09/09/2014;9/14/14;Second Class;Medium
MX-2011-165932;9/25/11;9/29/11;Standard Class;Medium
US-2013-161088;4/25/13;05/02/2013;Standard Class;Medium
ES-2012-2495938;04/05/2012;04/09/2012;Standard Class;High
CA-2013-152555;3/30/13;04/03/2013;Second Class;Medium
MX-2014-132248;4/18/14;4/21/14;First Class;Medium
CA-2011-102673;11/01/2011;11/05/2011;Standard Class;Medium
IN-2012-80517;11/12/2012;11/15/12;Second Class;Medium
IN-2014-69205;8/13/14;8/19/14;Standard Class;Medium
CA-2014-128041;09/02/2014;09/02/2014;Same Day;High
MX-2014-119340;7/16/14;7/20/14;Standard Class;High
ES-2014-4842025;06/11/2014;6/14/14;First Class;Medium
CA-2011-103373;5/18/11;5/24/11;Standard Class;Medium
MX-2012-132724;11/05/2012;11/08/2012;First Class;Critical
IT-2011-3977380;12/21/11;12/25/11;Standard Class;High
MX-2013-157875;10/08/2013;10/10/2013;First Class;Critical
ID-2013-22459;10/02/2013;10/07/2013;Standard Class;Medium
CA-2013-131744;6/19/13;6/21/13;Second Class;High
MX-2011-159135;08/08/2011;08/12/2011;Standard Class;Medium
IN-2014-11553;11/05/2014;11/05/2014;Same Day;High
US-2013-111528;12/31/13;12/31/13;Same Day;Medium
ES-2012-4907139;6/13/12;6/17/12;Standard Class;Medium
IT-2014-5800736;06/11/2014;6/17/14;Standard Class;Low
MX-2014-128055;7/27/14;08/01/2014;Standard Class;High
MX-2014-156027;12/10/2014;12/14/14;Standard Class;High
IV-2014-4540;8/21/14;8/25/14;Standard Class;Medium
US-2014-127922;09/08/2014;09/10/2014;Second Class;Critical
MX-2012-159905;11/27/12;11/28/12;First Class;Critical
CA-2014-161046;03/06/2014;03/06/2014;Same Day;Medium
MX-2012-118031;12/14/12;12/17/12;First Class;Medium
ES-2012-5755966;01/12/2012;1/17/12;Standard Class;Medium
CG-2014-5160;12/25/14;12/30/14;Standard Class;Medium
IZ-2013-3730;8/14/13;8/21/13;Standard Class;Low
MX-2012-133480;12/20/12;12/22/12;Second Class;Medium
MX-2012-131863;2/14/12;2/21/12;Standard Class;Medium
ES-2012-1688414;7/20/12;7/26/12;Standard Class;Medium
IN-2011-75547;10/21/11;10/27/11;Standard Class;Medium
ES-2012-4147201;9/22/12;9/27/12;Standard Class;High
US-2012-136749;12/25/12;12/27/12;Second Class;Critical
ID-2014-76618;08/12/2014;8/14/14;Second Class;High
IN-2014-73230;6/23/14;6/29/14;Standard Class;Medium
IN-2011-45048;8/18/11;8/22/11;Standard Class;Medium
CA-2013-100790;6/27/13;07/03/2013;Standard Class;Medium
RS-2013-1210;6/19/13;6/23/13;Second Class;High
IN-2014-37194;11/03/2014;11/06/2014;First Class;High
MX-2014-134740;6/26/14;6/28/14;First Class;Critical
IN-2011-60357;03/10/2011;3/16/11;Standard Class;Medium
MX-2014-125577;04/05/2014;04/11/2014;Standard Class;Low
CA-2012-135853;12/11/2012;12/14/12;First Class;Critical
ES-2013-5266365;09/04/2013;09/07/2013;Second Class;Medium
CA-2013-137043;12/24/13;12/26/13;Second Class;High
MX-2014-124282;10/03/2014;10/06/2014;First Class;High
CA-2013-125094;11/06/2013;11/10/2013;Standard Class;High
MX-2014-118766;05/09/2014;5/14/14;Standard Class;High
UP-2012-1130;9/16/12;9/21/12;Standard Class;Medium
ID-2014-81938;01/02/2014;01/03/2014;First Class;Medium
CA-2012-116876;2/14/12;2/21/12;Standard Class;Low
RO-2012-3960;09/03/2012;09/07/2012;Standard Class;Medium
MX-2011-151302;12/19/11;12/21/11;Second Class;Medium
CA-2012-103835;9/24/12;9/28/12;Standard Class;Medium
SF-2014-7270;06/05/2014;06/06/2014;First Class;High
IN-2012-82211;10/04/2012;10/08/2012;Standard Class;Medium
US-2013-150147;10/23/13;10/27/13;Standard Class;Medium
CA-2014-167549;7/26/14;7/28/14;First Class;High
ES-2011-5263174;3/23/11;3/27/11;Standard Class;Medium
CA-2013-136301;3/14/13;3/16/13;Second Class;Critical
AO-2014-2460;11/06/2014;11/11/2014;Standard Class;Medium
ES-2014-1808409;7/14/14;7/16/14;Second Class;Medium
ID-2013-36256;10/04/2013;10/09/2013;Standard Class;Medium
ID-2014-32931;1/16/14;1/21/14;Standard Class;Medium
ES-2013-3501129;12/26/13;01/01/2014;Standard Class;Medium
CA-2013-156685;07/09/2013;07/11/2013;Second Class;Medium
ES-2011-3188488;02/02/2011;02/07/2011;Second Class;Medium
IN-2014-10083;9/24/14;9/27/14;Second Class;Critical
CA-2013-112830;06/07/2013;06/11/2013;Standard Class;High
IN-2013-53476;08/01/2013;08/06/2013;Standard Class;Medium
CA-2011-137274;3/29/11;04/02/2011;Standard Class;Medium
BU-2012-8790;06/01/2012;06/03/2012;Second Class;High
MX-2013-106425;3/29/13;04/02/2013;Standard Class;Medium
IT-2011-2536577;11/15/11;11/20/11;Standard Class;High
IN-2013-84024;06/12/2013;6/14/13;First Class;High
MX-2011-116218;02/09/2011;2/13/11;Standard Class;High
MO-2012-4230;10/08/2012;10/12/2012;Standard Class;High
TZ-2011-9610;12/15/11;12/20/11;Standard Class;Medium
ES-2014-4358524;06/06/2014;06/10/2014;Standard Class;High
MX-2013-156083;11/23/13;11/27/13;Standard Class;High
IN-2014-66076;08/06/2014;08/12/2014;Standard Class;Low
MX-2011-165106;11/04/2011;11/07/2011;Second Class;Medium
ES-2014-5781303;06/05/2014;06/10/2014;Standard Class;Medium
IN-2014-11945;10/21/14;10/27/14;Standard Class;Medium
MX-2014-165792;3/27/14;3/30/14;First Class;Critical
IN-2013-33309;10/29/13;11/03/2013;Second Class;High
CA-2014-105809;2/21/14;2/24/14;First Class;Medium
CG-2012-8000;10/16/12;10/18/12;Second Class;High
US-2014-165799;9/30/14;10/02/2014;First Class;Medium
IN-2012-74147;12/28/12;01/01/2013;Standard Class;High
CA-2013-131289;12/09/2013;12/15/13;Standard Class;Medium
MX-2014-165050;4/16/14;4/21/14;Second Class;Medium
IN-2011-59986;03/01/2011;03/03/2011;First Class;High
IR-2014-9060;09/06/2014;09/11/2014;Second Class;Medium
MX-2014-145800;7/29/14;7/31/14;Second Class;Critical
ID-2014-32294;5/16/14;5/23/14;Standard Class;Medium
CA-2011-124646;6/22/11;6/24/11;First Class;Medium
IN-2014-76114;08/08/2014;08/08/2014;Same Day;High
IN-2013-10748;3/19/13;3/23/13;Second Class;Medium
US-2013-131296;08/08/2013;08/08/2013;Same Day;Critical
IN-2011-56878;11/14/11;11/21/11;Standard Class;Medium
MX-2011-112319;4/19/11;4/25/11;Standard Class;Low
MX-2014-149902;12/13/14;12/16/14;First Class;Critical
MX-2012-163888;6/13/12;6/17/12;Standard Class;High
MX-2014-162152;8/15/14;8/22/14;Standard Class;Low
CA-2013-145261;12/19/13;12/22/13;First Class;Medium
US-2013-106600;04/09/2013;04/12/2013;First Class;Medium
IN-2012-51705;12/21/12;12/25/12;Standard Class;High
ES-2013-2491395;6/17/13;6/21/13;Standard Class;High
US-2012-107944;3/23/12;3/25/12;First Class;High
IZ-2011-180;8/24/11;8/30/11;Standard Class;Medium
IN-2012-52496;09/10/2012;9/17/12;Standard Class;Medium
CA-2013-166429;09/03/2013;09/09/2013;Standard Class;Medium
NI-2011-5530;10/25/11;10/27/11;First Class;Medium
CA-2014-100951;06/10/2014;06/11/2014;First Class;Medium
IZ-2011-7430;9/14/11;9/18/11;Standard Class;High
IT-2014-4046179;12/27/14;12/30/14;Second Class;Medium
ES-2012-3876322;09/06/2012;09/08/2012;Second Class;High
CA-2013-107328;08/09/2013;8/16/13;Standard Class;Medium
CA-2013-158260;11/05/2013;11/09/2013;Standard Class;High
IN-2014-24531;8/15/14;8/19/14;Standard Class;Medium
MX-2014-139255;4/23/14;4/27/14;Standard Class;Medium
ID-2014-16173;03/10/2014;3/14/14;Standard Class;Medium
RO-2012-1240;12/19/12;12/21/12;Second Class;Critical
ES-2014-3977451;12/08/2014;12/09/2014;First Class;High
IN-2014-57571;12/15/14;12/16/14;First Class;Critical
CA-2012-110877;10/23/12;10/26/12;First Class;Critical
NI-2012-2810;6/19/12;6/22/12;Second Class;High
ES-2011-5644297;08/11/2011;8/13/11;First Class;Critical
US-2012-110576;2/16/12;2/18/12;First Class;Critical
ES-2014-2280822;2/28/14;03/02/2014;Second Class;High
SA-2014-8450;5/15/14;5/19/14;Second Class;High
IN-2011-40715;6/30/11;07/04/2011;Standard Class;Medium
CA-2011-122070;4/22/11;4/24/11;Second Class;Critical
ES-2013-1172576;12/25/13;01/01/2014;Standard Class;Low
CA-2013-157749;06/05/2013;06/10/2013;Second Class;Medium
ES-2014-1193193;5/21/14;5/23/14;First Class;Critical
ID-2014-33638;2/28/14;03/05/2014;Standard Class;Medium
MX-2011-139731;12/20/11;12/22/11;First Class;High
US-2014-146808;10/21/14;10/23/14;First Class;Critical
ID-2011-65152;11/28/11;12/02/2011;Standard Class;High
SG-2014-8980;06/03/2014;06/07/2014;Second Class;High
US-2014-164175;3/14/14;3/20/14;Standard Class;Medium
MX-2012-143175;10/25/12;10/30/12;Standard Class;Medium
IN-2014-34450;10/31/14;11/04/2014;Second Class;High
IN-2014-84458;9/24/14;9/28/14;Standard Class;High
CA-2013-115917;5/21/13;5/26/13;Standard Class;Medium
MX-2013-166800;9/20/13;9/22/13;Second Class;Critical
ES-2012-1835271;11/14/12;11/14/12;Same Day;High
IT-2013-3003289;5/29/13;06/05/2013;Standard Class;Low
CA-2012-100146;5/14/12;5/19/12;Standard Class;Medium
IT-2013-4972763;8/30/13;09/04/2013;Second Class;Medium
IN-2011-77542;12/29/11;01/01/2012;First Class;Medium
MX-2014-164959;1/16/14;1/17/14;Same Day;Critical
ES-2013-3042034;2/23/13;2/26/13;First Class;Critical
UP-2013-8780;07/01/2013;07/03/2013;Second Class;Critical
ID-2013-83261;10/02/2013;10/04/2013;Second Class;Critical
CA-2011-169061;03/05/2011;03/08/2011;Second Class;Medium
MX-2013-121272;10/08/2013;10/10/2013;Second Class;Medium
IT-2014-2973778;3/24/14;3/29/14;Standard Class;Medium
ES-2011-4450781;11/10/2011;11/13/11;First Class;High
IT-2014-2810229;4/17/14;4/21/14;Standard Class;High
IN-2014-56591;12/30/14;01/05/2015;Standard Class;Low
CA-2011-128055;3/31/11;04/05/2011;Standard Class;Medium
IN-2012-45979;10/03/2012;10/09/2012;Standard Class;Medium
ID-2013-28605;4/25/13;4/30/13;Second Class;Medium
CG-2014-330;9/22/14;9/27/14;Standard Class;Medium
ES-2012-2946531;3/15/12;3/20/12;Standard Class;Medium
UP-2014-8330;7/24/14;7/29/14;Standard Class;Medium
US-2011-126256;09/08/2011;9/13/11;Standard Class;Medium
MX-2013-107804;06/11/2013;6/18/13;Standard Class;Low
ES-2014-1114603;11/28/14;11/28/14;Same Day;High
ES-2012-5426608;09/04/2012;09/06/2012;Second Class;Medium
MX-2012-153010;04/09/2012;4/14/12;Standard Class;High
IN-2014-51033;09/09/2014;9/14/14;Standard Class;Medium
MX-2011-117926;05/09/2011;5/15/11;Standard Class;Medium
MA-2012-6130;12/05/2012;12/10/2012;Second Class;High
UP-2013-4690;8/15/13;8/20/13;Second Class;High
MX-2014-162824;8/20/14;8/24/14;Standard Class;Medium
MX-2014-126221;11/18/14;11/22/14;Second Class;Medium
MX-2013-165211;10/02/2013;10/04/2013;Second Class;High
ID-2014-13695;02/11/2014;2/15/14;Standard Class;High
ES-2014-1618066;10/17/14;10/22/14;Second Class;Medium
CA-2013-110044;6/29/13;07/03/2013;Second Class;High
MX-2012-123358;05/08/2012;5/13/12;Standard Class;Medium
HU-2013-8690;09/04/2013;09/04/2013;Same Day;High
IT-2012-5367645;7/23/12;7/30/12;Standard Class;Low
IR-2011-6860;2/27/11;03/06/2011;Standard Class;Medium
ES-2013-1614127;5/22/13;5/27/13;Standard Class;Medium
ES-2014-5022243;07/01/2014;07/04/2014;First Class;Medium
MX-2014-113040;11/13/14;11/17/14;Standard Class;Medium
US-2012-113754;04/05/2012;04/10/2012;Standard Class;Medium
IN-2013-64130;12/06/2013;12/08/2013;Second Class;Critical
IN-2013-44460;03/05/2013;03/06/2013;First Class;Critical
IN-2014-84976;11/21/14;11/27/14;Standard Class;Medium
ZA-2013-530;1/28/13;1/31/13;Second Class;Medium
CA-2011-115161;02/01/2011;02/03/2011;First Class;High
MX-2012-167045;10/10/2012;10/17/12;Standard Class;Medium
CA-2014-152933;10/13/14;10/17/14;Standard Class;Medium
ES-2014-5621218;8/16/14;8/18/14;First Class;High
IR-2014-7830;05/09/2014;5/14/14;Standard Class;Medium
US-2013-112361;04/03/2013;04/06/2013;Second Class;Medium
MX-2013-118836;12/23/13;12/27/13;Standard Class;Medium
MX-2014-116316;09/01/2014;09/03/2014;Second Class;Critical
ES-2013-1244276;12/20/13;12/23/13;First Class;High
CA-2013-168774;09/05/2013;09/10/2013;Standard Class;High
CA-2014-148922;12/11/2014;12/16/14;Second Class;Medium
MX-2011-141530;01/12/2011;1/17/11;Standard Class;Medium
IN-2013-45265;11/15/13;11/20/13;Standard Class;Medium
MX-2013-136980;10/26/13;11/02/2013;Standard Class;Low
IN-2014-42276;11/17/14;11/22/14;Second Class;Medium
CA-2011-163468;11/18/11;11/21/11;First Class;Medium
ES-2011-1137137;06/07/2011;06/11/2011;Standard Class;Medium
ID-2014-74119;9/30/14;10/04/2014;Second Class;High
US-2014-148551;1/13/14;1/17/14;Standard Class;Medium
IV-2014-6630;4/15/14;4/20/14;Standard Class;Medium
CA-2011-148915;11/01/2011;11/05/2011;Standard Class;High
US-2013-167472;06/07/2013;06/08/2013;First Class;High
EG-2014-9060;11/13/14;11/17/14;Standard Class;High
ES-2012-4487119;12/21/12;12/23/12;First Class;Critical
US-2014-125717;9/29/14;10/02/2014;First Class;Medium
MX-2013-155110;11/19/13;11/26/13;Standard Class;Low
MX-2014-138394;08/07/2014;8/14/14;Standard Class;Medium
ES-2014-1026046;10/20/14;10/24/14;Standard Class;High
CM-2013-4800;02/02/2013;02/06/2013;Standard Class;High
IN-2013-12036;9/25/13;10/02/2013;Standard Class;Low
BN-2013-6580;11/28/13;12/01/2013;First Class;High
IR-2013-230;4/25/13;4/29/13;Standard Class;High
MX-2011-162488;9/23/11;9/23/11;Same Day;Critical
US-2012-140200;7/26/12;7/28/12;First Class;Medium
CA-2012-104626;09/01/2012;09/08/2012;Standard Class;Medium
CA-2014-115546;5/15/14;5/19/14;Standard Class;High
CA-2014-124436;3/20/14;3/23/14;Second Class;High
UP-2012-1780;11/13/12;11/16/12;Second Class;Medium
ES-2013-1030020;07/01/2013;07/07/2013;Standard Class;Medium
IN-2012-72026;11/30/12;12/06/2012;Standard Class;Low
IN-2014-30852;3/31/14;04/04/2014;Standard Class;Medium
MX-2011-149944;6/22/11;6/25/11;First Class;Critical
MX-2012-166240;11/13/12;11/18/12;Standard Class;High
IT-2013-1376966;8/14/13;8/18/13;Standard Class;Medium
CA-2013-139010;2/21/13;2/26/13;Second Class;Medium
ES-2012-4711076;12/10/2012;12/17/12;Standard Class;Medium
ES-2012-5507408;4/19/12;4/22/12;Second Class;High
IT-2011-1027688;10/29/11;11/03/2011;Standard Class;Medium
EG-2012-3940;5/18/12;5/22/12;Standard Class;High
CA-2011-138681;12/20/11;12/22/11;First Class;High
IN-2011-32196;1/31/11;02/05/2011;Standard Class;High
IN-2011-78781;2/21/11;2/25/11;Standard Class;Medium
ES-2012-1420387;6/29/12;07/03/2012;Standard Class;High
SG-2014-2730;6/20/14;6/23/14;First Class;High
US-2014-154564;07/04/2014;07/07/2014;Second Class;Critical
IT-2011-1460998;05/10/2011;05/10/2011;Same Day;Critical
MX-2014-169971;6/26/14;6/30/14;Standard Class;Medium
AG-2014-8600;1/22/14;1/27/14;Standard Class;Medium
IT-2011-5810579;6/17/11;6/21/11;Standard Class;Medium
ID-2013-10972;7/24/13;7/29/13;Standard Class;Medium
US-2011-144729;7/21/11;7/24/11;First Class;Medium
IN-2012-86936;12/10/2012;12/14/12;Standard Class;Medium
ES-2014-5216176;5/24/14;5/29/14;Second Class;High
MX-2011-144183;09/12/2011;9/19/11;Standard Class;Medium
